,source,paragraph_text,source-paragraph-text
422,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"If, on the contrary, only one phase of the metamorphosis is gone  through, if there are only sales or only purchases, then a given piece  of money changes its place only once. Its second change of place always  expresses the second metamorphosis of the commodity, its re-conversion  from money. The frequent repetition of the displacement of the same coins  reflects not only the series of metamorphoses that a single commodity has  gone through, but also the intertwining of the innumerable metamorphoses  in the world of commodities in general. It is a matter of course, that  all this is applicable to the simple circulation of commodities alone,  the only form that we are now considering.  ","Money,
or the Circulation of Commodities"
423,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Every commodity, when it first steps into circulation, and undergoes  its first change of form, does so only to fall out of circulation again  and to be replaced by other commodities. Money, on the contrary, as the  medium of circulation, keeps continually within the sphere of circulation,  and moves about in it. The question therefore arises, how much money this  sphere constantly absorbs?  ","Money,
or the Circulation of Commodities"
424,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"In a given country there take place every day at the same time,  but in different localities, numerous one-sided metamorphoses of commodities,  or, in other words, numerous sales and numerous purchases. The commodities  are equated beforehand in imagination, by their prices, to definite quantities  of money. And since, in the form of circulation now under consideration,  money and commodities always come bodily face to face, one at the positive  pole of purchase, the other at the negative pole of sale, it is clear that  the amount of the means of circulation required, is determined beforehand  by the sum of the prices of all these commodities. As a matter of fact,  the money in reality represents the quantity or sum of gold ideally expressed  beforehand by the sum of the prices of the commodities. The equality of  these two sums is therefore self-evident. We know, however, that, the values  of commodities remaining constant, their prices vary with the value of  gold (the material of money), rising in proportion as it falls, and falling  in proportion as it rises. Now if, in consequence of such a rise or fall  in the value of gold, the sum of the prices of commodities fall or rise,  the quantity of money in currency must fall or rise to the same  extent. The change in the quantity of the circulating medium is, in this  case, it is true, caused by the money itself, yet not in virtue of its  function as a medium of circulation, but of its function as a measure of  value. First, the price of the commodities varies inversely as the value  of the money, and then the quantity of the medium of circulation varies  directly as the price of the commodities. Exactly the same thing would  happen if, for instance, instead of the value of gold falling, gold were  replaced by silver as the measure of value, or if, instead of the value  of silver rising, gold were to thrust silver out from being the measure  of value. In the one case, more silver would be current than gold was before;  in the other case, less gold would be current than silver was before. In  each case the value of the material of money, i.e., the value of  the commodity that serves as the measure of value, would have undergone  a change, and therefore so, too, would the prices of commodities which  express their values in money, and so, too, would the quantity of money  current whose function it is to realise those prices. We have already seen,  that the sphere of circulation has an opening through which gold (or the  material of money generally) enters into it as a commodity with a given  value. Hence, when money enters on its functions as a measure of value,  when it expresses prices, its value is already determined. If now its value  fall, this fact is first evidenced by a change in the prices of those commodities  that are directly bartered for the precious metals at the sources of their  production. The greater part of all other commodities, especially in the  imperfectly developed stages of civil society, will continue for a long  time to be estimated by the former antiquated and illusory value of the  measure of value. Nevertheless, one commodity infects another through their  common value-relation, so that their prices, expressed in gold or in silver,  gradually settle down into the proportions determined by their comparative  values, until finally the values of all commodities are estimated in terms  of the new value of the metal that constitutes money. This process is accompanied  by the continued increase in the quantity of the precious metals, an increase  caused by their streaming in to replace the articles directly bartered  for them at their sources of production. In proportion therefore as commodities  in general acquire their true prices, in proportion as their values become  estimated according to the fallen value of the precious metal, in the same  proportion the quantity of that metal necessary for realising those new  prices is provided beforehand. A one-sided observation of the results that  followed upon the discovery of fresh supplies of gold and silver, led some  economists in the 17th, and particularly in the 18th century, to the false  conclusion, that the prices of commodities had gone up in consequence of  the increased quantity of gold and silver serving as means of circulation.  Henceforth we shall consider the value of gold to be given, as, in fact,   it is momentarily, whenever we estimate the price of a commodity.","Money,
or the Circulation of Commodities"
425,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"  On this supposition then, the quantity of the medium of circulation is  determined by the sum of the prices that have to be realised. If now we  further suppose the price of each commodity to be given, the sum of the  prices clearly depends on the mass of commodities in circulation. It requires  but little racking of brains to comprehend that if one quarter of wheat  costs £2,100 quarters will cost £200, 200 quarters £400,  and so on, that consequently the quantity of money that changes place with  the wheat, when sold, must increase with the quantity of that wheat.  ","Money,
or the Circulation of Commodities"
426,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"If the mass of commodities remain constant, the quantity of circulating  money varies with the fluctuations in the prices of those commodities.  It increases and diminishes because the sum of the prices increases or  diminishes in consequence of the change of price. To produce this effect,  it is by no means requisite that the prices of all commodities should rise  or fall simultaneously. A rise or a fall in the prices of a number of leading  articles, is sufficient in the one case to increase, in the other to diminish,  the sum of the prices of all commodities, and, therefore, to put more or  less money in circulation. Whether the change in the price correspond to  an actual change of value in the commodities, or whether it be the result  of mere fluctuations in market-prices, the effect on the quantity of the  medium of circulation remains the same. Suppose the following articles  to be sold or partially metamorphosed simultaneously in different localities:  say, one quarter of wheat, 20 yards of linen, one Bible, and 4 gallons  of brandy. If the price of each article be £2, and the sum of the  prices to be realised be consequently £8, it follows that £8  in money must go into circulation. If, on the other hand, these same articles  are links in the following chain of  metamorphoses: 1 quarter of wheat — £2 — 20 yards of linen — £2  — 1 Bible — £2 — 4 gallons of brandy — £2, a chain that  is already well known to us, in that case the £2 cause the different  commodities to circulate one after the other, and after realising their  prices successively, and therefore the sum of those prices, £8, they  come to rest at last in the pocket of the distiller. The £2 thus  make four moves. This repeated change of place of the same pieces of money  corresponds to the double change in form of the commodities, to their motion  in opposite directions through two stages of circulation. and to the interlacing  of the metamorphoses of different commodities.   These antithetic and complementary phases, of which the process  of metamorphosis consists, are gone through, not simultaneously, but successively.  Time is therefore required for the completion of the series. Hence the  velocity of the currency of money is measured by the number of moves made  by a given piece of money in a given time. Suppose the circulation of the  4 articles takes a day. The sum of the prices to be realised in the day  is £8, the number of moves of the two pieces of money is four, and  the quantity of money circulating is £2. Hence, for a given interval  of time during the process of circulation, we have the following relation:  the quantity of money functioning as the circulating medium is equal to  the sum of the prices of the commodities divided by the number of moves  made by coins of the same denomination. This law holds generally.  ","Money,
or the Circulation of Commodities"
427,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The total circulation of commodities in a given country during  a given period is made up on the one hand of numerous isolated and simultaneous  partial metamorphoses, sales which are at the same time purchases, in which  each coin changes its place only once, or makes only one move; on the other  hand, of numerous distinct series of metamorphoses partly running side  by side, and partly coalescing with each other, in each of which series  each coin makes a number of moves, the number being greater or less according  to circumstances. The total number of moves made by all the circulating  coins of one denomination being given, we can arrive at the average number  of moves made by a single coin of that denomination, or at the average  velocity of the currency of money. The quantity of money thrown into the  circulation at the beginning of each day is of course determined by the  sum of the prices of all the commodities circulating simultaneously side  by side. But once in circulation, coins are, so to say, made responsible  for one another. If the one increase its velocity, the other either retards  its own, or altogether falls out of circulation; for the circulation can  absorb only such a quantity of gold as when multiplied by the mean number  of moves made by one single coin or element, is equal to the sum of the  prices to be realised. Hence if the number of moves made by the separate  pieces increase, the total number of those pieces in circulation diminishes.  If the number of the moves diminish, the total number of pieces increases.  Since the quantity of money capable of being absorbed by the circulation  is given for a given mean velocity of currency, all that is necessary in  order to abstract a given number of sovereigns from the circulation is  to throw the same number of one-pound notes into it, a trick well known  to all bankers.    ","Money,
or the Circulation of Commodities"
428,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Just as the currency of money, generally considered, is but a  reflex of the circulation of commodities, or of the antithetical metamorphoses  they undergo, so, too, the velocity of that currency reflects the rapidity  with which commodities change their forms, the continued interlacing of  one series of metamorphoses with another, the hurried social interchange  of matter, the rapid disappearance of commodities from the sphere of circulation,  and the equally rapid substitution of fresh ones in their places. Hence,  in the velocity of the currency we have the fluent unity of the antithetical  and complementary phases, the unity of the conversion of the useful aspect  of commodities into their value-aspect, and their re-conversion from the  latter aspect to the former, or the unity of the two processes of sale  and purchase. On the other hand, the retardation of the currency reflects  the separation of these two processes into isolated antithetical phases,  reflects the stagnation in the change of form, and therefore, in the social  interchange of matter. The circulation itself, of course, gives no clue  to the origin of this stagnation; it merely puts in evidence the phenomenon  itself. The general public, who, simultaneously with the retardation of  the currency, see money appear and disappear less frequently at the periphery  of circulation, naturally attribute this retardation to a quantitative  deficiency in the circulating medium.  ","Money,
or the Circulation of Commodities"
429,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The total quantity of money functioning during a given period  as the circulating medium, is determined, on the one hand, by the sum of  the prices of the circulating commodities, and on the other hand, by the  rapidity with which the antithetical phases of the metamorphoses follow  one another. On this rapidity depends what proportion of the sum  of the prices can, on the average, be realised by each single coin. But  the sum of the prices of the circulating commodities depends on the quantity,  as well as on the prices, of the commodities. These three factors, however,  state of prices, quantity of circulating commodities, and velocity of money-currency,  are all variable. Hence, the sum of the prices to be realised, and consequently  the quantity of the circulating medium depending on that sum, will vary  with the numerous variations of these three factors in combination. Of  these variations we shall consider those alone that have been the most  important in the history of prices.  ","Money,
or the Circulation of Commodities"
430,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"While prices remain constant, the quantity of the circulating  medium may increase owing to the number of circulating commodities increasing,  or to the velocity of currency decreasing, or to a combination of the two.  On the other hand the quantity of the circulating medium may decrease with  a decreasing number of commodities, or with an increasing rapidity of their  circulation.  ","Money,
or the Circulation of Commodities"
431,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"With a general rise in the prices of commodities, the quantity  of the circulating medium will remain constant, provided the number of  commodities in circulation decrease proportionally to the increase in their  prices, or provided the velocity of currency increase at the same rate  as prices rise, the number of commodities in circulation remaining constant.  The quantity of the circulating medium may decrease, owing to the number  of commodities decreasing more rapidly; or to the velocity of currency increasing more rapidly, than prices rise.  ","Money,
or the Circulation of Commodities"
432,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"With a general fall in the prices of commodities, the quantity  of the circulating medium will remain constant, provided the number of  commodities increase proportionally to their fall in price, or provided  the velocity of currency decrease in the same proportion. The quantity  of the circulating medium will increase, provided the number of commodities  increase quicker, or the rapidity of circulation decrease quicker, than  the prices fall.  ","Money,
or the Circulation of Commodities"
433,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The variations of the different factors may mutually compensate  each other, so that notwithstanding their continued instability, the sum  of the prices to be realised and the quantity of money in circulation remain  constant; consequently, we find, especially if we take long periods into  consideration, that the deviations from the average level, of the quantity  of money current in any country, are much smaller than we should at first  sight expect, apart of course from excessive perturbations periodically  arising from industrial and commercial crises, or less frequently, from  fluctuations in the value of money.      ","Money,
or the Circulation of Commodities"
434,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The law, that the quantity of the circulating medium is determined  by the sum of the prices of the commodities circulating, and the average  velocity of currency  ","Money,
or the Circulation of Commodities"
435,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"That money takes the shape of coin, springs from its function as the  circulating medium. The weight of gold represented in imagination by the  prices or money-names of commodities, must confront those commodities,  within the circulation, in the shape of coins or pieces of gold of a given  denomination. Coining, like the establishment of a standard of prices,  is the business of the State. The different national uniforms worn at home  by gold and silver as coins, and doffed again in the market of the world,  indicate the separation between the internal or national spheres of the  circulation of commodities, and their universal sphere.","Money,
or the Circulation of Commodities"
436,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The only difference, therefore, between coin and bullion,  is one of shape, and gold can at any time pass from one form to the other.   But no sooner does coin leave the mint, than it  immediately finds itself on the high-road to the melting pot. During their  currency, coins wear away, some more, others less. Name and substance,  nominal weight and real weight, begin their process of separation. Coins  of the same denomination become different in value, because they are different  in weight. The weight of gold fixed upon as the standard of prices, deviates  from the weight that serves as the circulating medium, and the latter thereby  ceases any longer to be a real equivalent of the commodities whose prices  it realises. The history of coinage during the middle ages and down into  the 18th century, records the ever renewed confusion arising from this  cause. The natural tendency of circulation to convert coins into a mere  semblance of what they profess to be, into a symbol of the weight of metal  they are officially supposed to contain, is recognised by modern legislation,  which fixes the loss of weight sufficient to demonetise a gold coin, or  to make it no longer legal tender.  ","Money,
or the Circulation of Commodities"
437,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The fact that the currency of coins itself effects a separation  between their nominal and their real weight, creating a distinction between  them as mere pieces of metal on the one hand, and as coins with a definite  function on the other — this fact implies the latent possibility of replacing  metallic coins by tokens of some other material, by symbols serving the  same purposes as coins. The practical difficulties in the way of coining  extremely minute quantities of gold or silver, and the circumstance that  at first the less precious metal is used as a measure of value instead  of the-more precious, copper instead of silver, silver instead of gold,  and that the less precious circulates as money until dethroned by the more  precious — all these facts explain the parts historically played by silver  and copper tokens as substitutes for gold coins. Silver and copper tokens  take the place of gold in those regions of the circulation where  coins pass from hand to hand most rapidly, and are subject to the maximum  amount of wear and tear. This occurs where sales and purchases on a very  small scale are continually happening. In order to prevent these satellites  from establishing themselves permanently in the place of gold, positive  enactments determine the extent to which they must be compulsorily received  as payment instead of gold. The particular tracks pursued by the different  species of coin in currency, run naturally into each other. The tokens  keep company with gold, to pay fractional parts of the smallest gold coin;  gold is, on the one hand, constantly pouring into retail circulation, and  on the other hand is as constantly being thrown out again by being changed  into tokens.  ","Money,
or the Circulation of Commodities"
438,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The weight of metal in the silver and copper tokens is arbitrarily  fixed by law. When in currency, they wear away even more rapidly than gold  coins. Hence their functions are totally independent of their weight, and  consequently of all value. The function of gold as coin becomes completely  independent of the metallic value of that gold. Therefore things that are  relatively without value, such as paper notes, can serve as coins in its  place. This purely symbolic character is to a certain extent masked in  metal tokens. In paper money it stands out plainly. In fact, ce n’est que  le premier pas qui coûte.    ","Money,
or the Circulation of Commodities"
439,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"We allude here only to inconvertible paper money issued by the  State and having compulsory circulation. It has its immediate origin in  the metallic currency. Money based upon credit implies on the other hand  conditions, which, from our standpoint of the simple circulation of commodities,  are as yet totally unknown to us. But we may affirm this much, that just  as true paper money takes its rise in the function of money as the circulating  medium, so money based upon credit takes root spontaneously in the function  of money as the means of payment.  ","Money,
or the Circulation of Commodities"
440,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The State puts in circulation bits of paper on which their  various denominations, say £1, £5, &c., are printed. In  so far as they actually take the place of gold to the same amount, their  movement is subject to the laws that regulate the currency of money itself.  A law peculiar to the circulation of paper money can spring up only from  the proportion in which that paper money represents gold. Such a law exists;  stated simply, it is as follows: the issue of paper money must not exceed  in amount the gold (or silver as the case may be) which would actually  circulate if not replaced by symbols. Now the quantity of gold which the  circulation can absorb, constantly fluctuates about a given level. Still,  the mass of the circulating medium in a given country never sinks below  a certain minimum easily ascertained by actual experience. The fact that  this minimum mass continually undergoes changes in its constituent parts,  or that the pieces of gold of which it consists are being constantly replaced  by fresh ones, causes of course no change either in its amount or in the  continuity of its circulation. It can therefore be replaced by paper symbols.  If, on the other hand, all the conduits of circulation were to-day filled  with paper money to the full extent of their capacity for absorbing money,  they might to-morrow be overflowing in consequence of a fluctuation in  the circulation of commodities. There would no longer be any standard.  If the paper money exceed its proper limit, which is the amount in gold  coins of the like denomination that can actually be current, it would,  apart from the danger of falling into general disrepute, represent only  that quantity of gold, which, in accordance with the laws of the circulation  of commodities, is required, and is alone capable of being represented  by paper. If the quantity of paper money issued be double what it ought  to be, then, as a matter of fact, £1 would be the money-name not  of 1/4 of an ounce, but of 1/8 of an ounce of gold. The effect would be  the same as if an alteration had taken place in the function of gold as  a standard of prices. Those values that were previously expressed by the  price of £1 would now be expressed by the price of £2.    ","Money,
or the Circulation of Commodities"
441,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Paper money is a token representing gold or money. The relation  between it and the values of commodities is this, that the latter are ideally  expressed in the same quantities of gold that are symbolically represented  by the paper. Only in so far as paper money represents gold, which like  all other commodities has value, is it a symbol of value.  ","Money,
or the Circulation of Commodities"
442,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Finally, some one may ask why gold is capable of being replaced  by tokens that have no value? But, as we have already seen, it is capable  of being so replaced only in so far as it functions exclusively as coin,  or as the circulating medium, and as nothing else. Now, money has other  functions besides this one, and the isolated function of serving as the  mere circulating medium is not necessarily the only one attached to gold  coin, although this is the case with those abraded coins that continue  to circulate. Each piece of money is a mere coin, or means of circulation,  only so long as it actually circulates. But this is just the case with  that minimum mass of gold, which is capable of being replaced by paper  money. That mass remains constantly within the sphere of circulation, continually  functions as a circulating medium, and exists exclusively for that purpose.  Its movement therefore represents nothing but the continued alternation  of the inverse phases of the metamorphosis C—M—C, phases in which commodities  confront their value-forms, only to disappear again immediately. The independent  existence of the exchange-value of a commodity is here a transient apparition,  by means of which the commodity is immediately replaced by another commodity.  Hence, in this process which continually makes money pass from hand to  hand, the mere symbolical existence of money suffices. Its functional existence  absorbs, so to say, its material existence. Being a transient and objective  reflex of the prices of commodities, it serves only as a symbol of itself,  and is therefore capable of being replaced by a token.   One thing is, however, requisite; this token must have an objective  social validity of its own, and this the paper symbol acquires by its forced  currency. This compulsory action of the State can take effect only within  that inner sphere of circulation which is coterminous with the territories  of the community, but it is also only within that sphere that money completely  responds to its function of being the circulating medium, or becomes coin.","Money,
or the Circulation of Commodities"
445,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The commodity that functions as a measure of value,  and, either in its own person or by a representative, as the medium of  circulation, is money. Gold (or silver) is therefore money. It functions  as money, on the one hand, when it has to be present in its own golden  person. It is then the money-commodity, neither merely ideal, as in its  function of a measure of value, nor capable of being represented, as in  its function of circulating medium. On the other hand, it also functions  as money, when by virtue of its function, whether that function be performed  in person or by representative, it congeals into the sole form of value,  the only adequate form of existence of exchange-value, in opposition to  use-value, represented by all other commodities.  ","Money,
or the Circulation of Commodities"
446,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The continual movement in circuits of the two antithetical metamorphoses  of commodities, or the never ceasing alternation of sale and purchase,  is reflected in the restless currency of money, or in the function that  money performs of a perpetuum mobile of circulation. But so soon  as the series of metamorphoses is interrupted, so soon as sales are not  supplemented by subsequent purchases, money ceases to be mobilised; it  is transformed, as Boisguillebert says, from “meuble” into “immeuble,”   from movable into immovable, from coin into money.    ","Money,
or the Circulation of Commodities"
447,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"With the very earliest development of the circulation of commodities,  there is also developed the necessity, and the passionate desire, to hold  fast the product of the first metamorphosis. This product is the transformed  shape of the commodity, or its gold-chrysalis.   Commodities are thus sold not for the purpose of buying others, but in  order to replace their commodity-form by their money-form. From being the  mere means of effecting the circulation of commodities, this change of  form becomes the end and aim. The changed form of the commodity is thus  prevented from functioning as its unconditionally alienable form, or as  its merely transient money-form. The money becomes petrified into a hoard,  and the seller becomes a hoarder of money.","Money,
or the Circulation of Commodities"
448,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"In the early stages of the circulation of commodities, it is the  surplus use-values alone that are converted into money. Gold and silver  thus become of themselves social expressions for superfluity or wealth.  This naive form of hoarding becomes perpetuated in those communities in  which the traditional mode of production is carried on for the supply of  a fixed and limited circle of home wants. It is thus with the people of  Asia, and particularly of the East Indies. Vanderlint, who fancies that  the prices of commodities in a country are determined by the quantity of  gold and silver to be found in it, asks himself why Indian commodities  are so cheap. Answer: Because the Hindus bury their money. From 1602 to  1734, he remarks, they buried 150 millions of pounds sterling of silver,  which originally came from America to Europe.  In  the 10 years from 1856 to 1866, England exported to India and China £120,000,000  in silver, which had been received in exchange for Australian gold. Most  of the silver exported to China makes its way to India.     ","Money,
or the Circulation of Commodities"
449,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"As the production of commodities further develops, every producer  of commodities is compelled to make sure of the nexus rerum or the social  pledge.  greets gold as its Holy Grail, as  the glittering incarnation of the very principle of its own life.  ","Money,
or the Circulation of Commodities"
450,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"A commodity, in its capacity of a use-value, satisfies a particular  want, and is a particular element of material wealth. But the value of  a commodity measures the degree of its attraction for all other elements  of material wealth, and therefore measures the social wealth of its owner.  To a barbarian owner of commodities, and even to a West-European peasant,  value is the same as value-form, and therefore to him the increase in  his hoard of gold and silver is an increase in value. It is true that the  value of money varies, at one time in consequence of a variation in its  own value, at another, in consequence of a change in the values of commodities.  But this, on the one hand, does not prevent 200 ounces of gold from still  containing more value than 100 ounces, nor, on the other hand, does it  hinder the actual metallic form of this article from continuing to be the  universal equivalent form of all other commodities, and the immediate social  incarnation of all human labour. The desire after hoarding is in its very  nature unsatiable. In its qualitative aspect, or formally considered, money  has no bounds to its efficacy, i.e., it is the universal representative  of material wealth, because it is directly convertible into any other commodity.  But, at the same time, every actual sum of money is limited in amount,  and, therefore, as a means of purchasing, has only a limited efficacy.  This antagonism between the quantitative limits of money and its qualitative  boundlessness, continually acts as a spur to the hoarder in his Sisyphus-like  labour of accumulating. It is with him as it is with a conqueror who sees  in every new country annexed, only a new boundary.    ","Money,
or the Circulation of Commodities"
451,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"In order that gold may be held as money, and made to form a hoard,  it must be prevented from circulating, or from transforming itself into  a means of enjoyment. The hoarder, therefore, makes a sacrifice of the  lusts of the flesh to his gold fetish. He acts in earnest up to the Gospel  of abstention. On the other hand, he can withdraw from circulation no more  than what he has thrown into it in the shape of commodities. The more he  produces, the more he is able to sell. Hard work, saving, and avarice are,  therefore, his three cardinal virtues, and to sell much and buy little  the sum of his political economy.  ","Money,
or the Circulation of Commodities"
452,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"By the side of the gross form of a hoard, we find also its aesthetic  form in the possession of gold and silver articles. This grows with the  wealth of civil society. “Soyons riches ou paraissons riches” (Diderot).  ","Money,
or the Circulation of Commodities"
453,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"In this way there is created, on the one hand, a constantly  extending market for gold and silver, unconnected with their functions  as money, and, on the other hand, a latent source of supply, to which recourse  is had principally in times of crisis and social disturbance.    ","Money,
or the Circulation of Commodities"
454,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Hoarding serves various purposes in the economy of the metallic  circulation. Its first function arises out of the conditions to which the  currency of gold and silver coins is subject. We have seen how, along with  the continual fluctuations in the extent and rapidity of the circulation  of commodities and in their prices, the quantity of money current unceasingly  ebbs and flows. This mass must, therefore, be capable of expansion and  contraction. At one time money must be attracted in order to act as circulating  coin, at another, circulating coin must be repelled in order to act again  as more or less stagnant money. In order that the mass of money, actually  current, may constantly saturate the absorbing power of the circulation,  it is necessary that the quantity of gold and silver in a country be greater  than the quantity required to function as coin. This condition is fulfilled  by money taking the form of hoards. These reserves serve as conduits for  the supply or withdrawal of money to or from the circulation, which in  this way never overflows its banks.  ","Money,
or the Circulation of Commodities"
455,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"In the simple form of the circulation of commodities hitherto considered,  we found a given value always presented to us in a double shape, as a commodity  at one pole, as money at the opposite pole. The owners of commodities came  therefore into contact as the respective representatives of what were already  equivalents. But with the development of circulation, conditions arise  under which the alienation of commodities becomes separated, by an interval  of time, from the realisation of their prices. It will be sufficient  to indicate the most simple of these conditions. One sort of article requires  a longer, another a shorter time for its production. Again, the production  of different commodities depends on different seasons of the year. One  sort of commodity may be born on its own market place, another has to make  a long journey to market. Commodity-owner No. 1, may therefore be ready  to sell, before No. 2 is ready to buy. When the same transactions are continually  repeated between the same persons, the conditions of sale are regulated  in accordance with the conditions of production. On the other hand, the  use of a given commodity, of a house, for instance, is sold (in common  parlance, let) for a definite period. Here, it is only at the end of the  term that the buyer has actually received the use-value of the commodity.  He therefore buys it before he pays for it. The vendor sells an existing  commodity, the purchaser buys as the mere representative of money, or rather  of future money. The vendor becomes a creditor, the purchaser becomes a  debtor. Since the metamorphosis of commodities, or the development of their  value-form, appears here under a new aspect, money also acquires a fresh  function; it becomes the means of payment.    ","Money,
or the Circulation of Commodities"
456,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The character of creditor, or of debtor, results here from the  simple circulation. The change in the form of that circulation stamps buyer  and seller with this new die. At first, therefore, these new parts are  just as transient and alternating as those of seller and buyer, and are  in turns played by the same actors. But the opposition is not nearly so  pleasant, and is far more capable of crystallisation.   The same characters can, however, be assumed independently of the circulation  of commodities. The class-struggles of the ancient world took the form  chiefly of a contest between debtors and creditors, which in Rome ended  in the ruin of the plebeian debtors. They were displaced by slaves. In  the middle ages the contest ended with the ruin of the feudal debtors,  who lost their political power together with the economic basis on which  it was established. Nevertheless, the money relation of debtor and creditor  that existed at these two periods reflected only the deeper-lying antagonism  between the general economic conditions of existence of the classes in  question.  ","Money,
or the Circulation of Commodities"
457,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"Let us return to the circulation of commodities. The appearance  of the two equivalents, commodities and money, at the two poles of the  process of sale, has ceased to be simultaneous. The money functions now,  first as a measure of value in the determination of the price of the commodity  sold; the price fixed by the contract measures the obligation of the debtor,  or the sum of money that he has to pay at a fixed date. Secondly, it serves  as an ideal means of purchase. Although existing only in the promise of  the buyer to pay, it causes the commodity to change hands. It is not before  the day fixed for payment that the means of payment actually steps into  circulation, leaves the hand of the buyer for that of the seller. The circulating  medium was transformed into a hoard, because the process stopped short  after the first phase, because the converted shape of the commodity, viz.,  the money, was withdrawn from circulation. The means of payment enters  the circulation, but only after the commodity has left it. The money is  no longer the means that brings about the process. It only brings it to  a close, by stepping in as the absolute form of existence of exchange-value,  or as the universal commodity. The seller turned his commodity into money,  in order thereby to satisfy some want, the hoarder did the same in order  to keep his commodity in its money-shape, and the debtor in order to be  able to pay; if he do not pay, his goods will be sold by the sheriff. The  value-form of commodities, money, is therefore now the end and aim of a  sale, and that owing to a social necessity springing out of the process  of circulation itself.    ","Money,
or the Circulation of Commodities"
458,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The buyer converts money back into commodities before he has turned  commodities into money: in other words, he achieves the second metamorphosis  of commodities before the first. The seller’s commodity circulates, and  realises its price, but only in the shape of a legal claim upon money.  It is converted into a use-value before it has been converted into money.  The completion of its first metamorphosis follows only at a later period.   ","Money,
or the Circulation of Commodities"
459,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The obligations falling due within a given period, represent the  sum of the prices of the commodities, the sale of which gave rise to those  obligations. The quantity of gold necessary to realise this sum, depends,  in the first instance, on the rapidity of currency of the means of payment.  That quantity is conditioned by two circumstances: first the relations  between debtors and creditors form a sort of chain, in such a way that  A, when he receives money from his debtor B, straightway hands it over to  C his creditor, and so on; the second circumstance is the length of the  intervals between the different due-days of the obligations. The continuous  chain of payments, or retarded first metamorphoses, is essentially different  from that interlacing of the series of metamorphoses which we considered  on a former page. By the currency of the circulating medium, the connexion  between buyers and sellers, is not merely expressed. This connexion is  originated by, and exists in, the circulation alone. Contrariwise, the  movement of the means of payment expresses a social relation that was in  existence long before.  ","Money,
or the Circulation of Commodities"
460,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The fact that a number of sales take place simultaneously, and  side by side, limits the extent to which coin can be replaced by the rapidity  of currency. On the other hand, this fact is a new lever in economising  the means of payment. In proportion as payments are concentrated at one  spot, special institutions and methods are developed for their liquidation.  Such in the middle ages were the virements at Lyons. The debts due  to A from B, to B from C, to C from A, and so on, have only to be confronted  with each other, in order to annul each other to a certain extent like  positive and negative quantities. There thus remains only a single balance  to pay. The greater the amount of the payments concentrated, the less is  this balance relatively to that amount, and the less is the mass of the  means of payment in circulation.    ","Money,
or the Circulation of Commodities"
461,https://www.marxists.org/archive/marx/works/1867-c1/ch03.htm,"The function of money as the means of payment implies a contradiction  without a terminus medius. In so far as the payments balance one another,  money functions only ideally as money of account, as a measure of value.  In so far as actual payments have to be made, money does not serve as a  circulating medium, as a mere transient agent in the interchange of products,  but as the individual incarnation of social labour, as the independent  form of existence of exchange-value, as the universal commodity. This contradiction  comes to a head in those phases of industrial and commercial crises which  are known as monetary crises.  ","Money,
or the Circulation of Commodities"
